Id,SalePrice
1461,126115.16706876612
1462,161522.01304668322
1463,183409.24271769015
1464,191833.27971242406
1465,197199.67437190696
1466,174948.07701451873
1467,171624.44749722345
1468,165194.87351811622
1469,195756.86117467095
1470,120680.49088220662
1471,187896.10082681547
1472,97279.67714123517
1473,98799.91212960132
1474,147068.9692133016
1475,112838.3343229527
1476,376820.9908517843
1477,263068.21205992944
1478,295751.33668243466
1479,283500.45741408673
1480,491272.6960440517
1481,318779.57660967903
1482,202868.46676889693
1483,185646.39725321648
1484,163816.27272579787
1485,183841.13284430472
1486,198136.1156108155
1487,327971.5791828781
1488,235741.76672974025
1489,209096.02207077024
1490,234797.5955406214
1491,200154.48594016553
1492,94268.89662812522
1493,189209.47152262222
1494,298492.14401641604
1495,281318.1735208604
1496,232401.92311891651
1497,178129.35058282316
1498,162120.27467265434
1499,157987.10698476396
1500,151278.02044794505
1501,182597.84977665832
1502,146532.7076092455
1503,302387.9449833071
1504,233438.35218738095
1505,222294.72221014887
1506,182543.23785201967
1507,250289.79026688804
1508,207618.78491379213
1509,158267.5043633411
1510,148289.72172316752
1511,151282.21518649498
1512,171429.48031075922
1513,146442.99600118928
1514,170177.7851063736
1515,202022.2073497621
1516,161531.48996358475
1517,173995.21471236757
1518,128374.81784016915
1519,226364.3515763629
1520,129449.0504601147
1521,136447.47082429804
1522,178553.9303069159
1523,110541.76668297415
1524,129130.56457470346
1525,125018.7166985414
1526,114634.70991488735
1527,103408.30461287551
1528,132171.71901839325
1529,153616.58065340106
1530,188751.81195460045
1531,119081.68016689205
1532,94857.74052725997
1533,149533.90203120426
1534,125120.64329114943
1535,158395.46841745582
1536,109133.03002772333
1537,66715.80293323465
1538,161293.65631056047
1539,207329.15425766696
1540,108806.86471238337
1541,146447.58770107268
1542,142224.29677246703
1543,205406.82597646947
1544,80640.50772339737
1545,113577.78423899847
1546,132831.34887979284
1547,139189.24568654643
1548,137342.77196738124
1549,117580.74719587558
1550,140069.55890151564
1551,110660.3090495223
1552,147660.81570290853
1553,160648.7448631046
1554,114603.87956051773
1555,169735.5742901347
1556,79501.68453449206
1557,118381.4056634664
1558,101756.06786224604
1559,81773.66970607046
1560,130714.182707814
1561,143748.99546880068
1562,131066.46828555269
1563,122101.87589994827
1564,156995.96451157675
1565,153622.1228390935
1566,247076.72560846046
1567,76717.77636500509
1568,231028.70275387223
1569,155950.6612322326
1570,137807.15379385668
1571,121481.6609988244
1572,147681.44159774607
1573,269386.3961458587
1574,123816.06825165202
1575,235301.3301011511
1576,242606.90426597436
1577,190741.39500325525
1578,149317.04927234803
1579,144425.40628928415
1580,191005.71967383107
1581,153838.02680217137
1582,123716.27877317634
1583,311582.69079738914
1584,231141.06503378158
1585,137211.936256646
1586,70082.85171413116
1587,104859.17490925733
1588,158898.80329691758
1589,107559.22845009435
1590,129335.25743406774
1591,93880.51186922008
1592,124636.91839495653
1593,127326.1205725345
1594,135614.80000385112
1595,116517.19983742255
1596,240833.45801581402
1597,202354.32997672525
1598,218264.17589029213
1599,188221.41724760656
1600,173876.2915949971
1601,68444.13006906249
1602,121110.18446895345
1603,71376.30636359652
1604,273252.002441624
1605,251199.70296978796
1606,164777.11866833273
1607,168067.37279802343
1608,211547.31701009005
1609,192864.07227775565
1610,156077.6123225689
1611,144698.79118244647
1612,172888.1509053256
1613,169132.62591615488
1614,123048.5299745162
1615,89295.24603686816
1616,73509.56940461778
1617,89534.27362774962
1618,123451.34051718455
1619,144885.39869129792
1620,170448.47328955363
1621,144947.5987325653
1622,144161.51968503997
1623,281301.9261185013
1624,223086.9640455381
1625,126922.72768778753
1626,167070.86741196213
1627,189137.48703429342
1628,285343.4442578439
1629,175252.22172682066
1630,358753.14791069337
1631,223963.5204198147
1632,244470.42326814012
1633,173531.7776211875
1634,182876.29963470803
1635,178417.6839675815
1636,151024.49005794208
1637,201280.2965504008
1638,200888.84214621616
1639,179523.0422898655
1640,256204.36955854605
1641,179967.68553264733
1642,231506.10445787595
1643,224015.4218460105
1644,228985.7889702404
1645,201033.67199719365
1646,156082.93618080646
1647,156966.4214180435
1648,128906.35791636165
1649,136060.7376981819
1650,111457.88229645006
1651,121011.8685454422
1652,98474.34977889335
1653,99220.13083109411
1654,146019.9678768991
1655,133057.93985426254
1656,144374.82461735315
1657,151640.9753484392
1658,149830.90998021088
1659,122728.0800399549
1660,157272.3340486384
1661,453786.1690228259
1662,378048.4526412215
1663,375497.18072914693
1664,483533.9599847662
1665,310083.0142819097
1666,345403.26159170165
1667,379731.25590274594
1668,328479.33782430866
1669,294363.98684151523
1670,336913.911075072
1671,273850.4590694
1672,443113.4685448248
1673,308447.1084717671
1674,251236.77612467116
1675,194186.53442651924
1676,193828.57068548157
1677,214554.32209147624
1678,476683.39141196414
1679,401070.2168678537
1680,322875.60919855104
1681,249067.26713470445
1682,320631.3586014258
1683,185785.9760936709
1684,179354.54103774144
1685,175644.4294335645
1686,164886.58925722327
1687,171100.1733270472
1688,190591.2073548808
1689,195350.89200005325
1690,195734.09117611387
1691,184148.2088204539
1692,265200.3518875402
1693,173982.1381081815
1694,178800.62292580528
1695,163788.35838261302
1696,281397.9485746375
1697,167758.93493388096
1698,350691.861259363
1699,324491.6843086012
1700,261020.90279688546
1701,274049.8944675588
1702,243015.77027371284
1703,242067.78965653066
1704,276144.141691787
1705,232156.16327160347
1706,426443.1625105251
1707,217492.63583094635
1708,206727.7447135321
1709,261338.88680193172
1710,219082.76660404616
1711,268643.6848786908
1712,256747.27524230216
1713,268643.39546767576
1714,217841.0695082407
1715,205902.08623611997
1716,188811.35669181094
1717,172512.963729996
1718,140583.2379313082
1719,221925.79443377
1720,244808.04595646105
1721,167854.90958224164
1722,126257.12307704422
1723,155378.188844623
1724,208906.86064228177
1725,239697.14090237013
1726,187910.9785792123
1727,154339.3311825262
1728,173422.16695496428
1729,171809.22728290712
1730,157248.87459647213
1731,122217.07064246308
1732,130241.13228858612
1733,118265.87605673177
1734,120042.93725547692
1735,123430.50743481187
1736,107866.9454937138
1737,308172.9587751082
1738,239236.11714575923
1739,260271.32616761056
1740,220580.26723437867
1741,191049.37160905957
1742,172499.85239295056
1743,170879.94761079582
1744,309185.1276317194
1745,230952.5418116289
1746,193957.50469219047
1747,223398.81132328213
1748,224002.96372066677
1749,147965.6529133438
1750,126657.41115320215
1751,238419.9289181588
1752,112668.79250458846
1753,151299.73826923678
1754,192152.72923283154
1755,168138.62902252626
1756,132944.1097183077
1757,120321.42451969828
1758,143119.54499118796
1759,161050.3603569748
1760,164453.3773847621
1761,150209.4077808481
1762,180214.39095516983
1763,186512.53787333117
1764,113632.33972787767
